a_episodes,a_title,a_rating,a_producer,a_broadcast
26,Cowboy Bebop,r - 17+ (violence & profanity),bandai visual,saturdays at 0100 (jst)
1,Cowboy Bebop The Movie,r - 17+ (violence & profanity),"sunrise,bandai visual",
